Campaign,Ad group,Keyword,Match type,Final URL,Max CPC USD
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair near me carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair near me carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair near me carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair service carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair service carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair service carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair service carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair service carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair service carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair service near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair company carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair company carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair company carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair company carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair company carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair company carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair company near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[carmel appliance repair],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""carmel appliance repair""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair near me carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair near me carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair near me carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair near me carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair near me carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair near me carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair service carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair service carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair service carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair service carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair service carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair service carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair service near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair service],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair service""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair technician carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair technician carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair technician carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair technician carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair technician carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair technician carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair technician near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair technician],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair technician""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel in],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel in""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel indiana],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel indiana""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair near me],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel in],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel in""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel indiana],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel indiana""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair near me],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair near me carmel],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
