Campaign,Ad group,Keyword,Match type,Final URL,Max CPC USD
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[appliance repair],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""same day appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[same day appliance repair],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel in],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel in""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair carmel indiana],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""home appliance repair carmel indiana""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair near me],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[home appliance repair],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,[carmel appliance repair],Exact,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Appliance Repair,"""carmel appliance repair""",Phrase,https://alex-repair.com/carmel.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""refrigerator repair carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[refrigerator repair],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel in],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel in""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair carmel indiana],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,"""fridge repair carmel indiana""",Phrase,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair near me],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Refrigerator Repair,[fridge repair],Exact,https://alex-repair.com/carmel/refrigerator-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel in],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel in""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair carmel indiana],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washer repair carmel indiana""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair near me],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washer repair],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel in],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel in""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair carmel indiana],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,"""washing machine repair carmel indiana""",Phrase,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair near me],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Washer Repair,[washing machine repair],Exact,https://alex-repair.com/carmel/washer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,[dryer repair carmel],Exact,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,"""dryer repair carmel""",Phrase,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,[dryer repair carmel in],Exact,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,"""dryer repair carmel in""",Phrase,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,[dryer repair carmel indiana],Exact,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,"""dryer repair carmel indiana""",Phrase,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,[dryer repair near me],Exact,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dryer Repair,[dryer repair],Exact,https://alex-repair.com/carmel/dryer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,[dishwasher repair carmel],Exact,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,"""dishwasher repair carmel""",Phrase,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,[dishwasher repair carmel in],Exact,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,"""dishwasher repair carmel in""",Phrase,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,[dishwasher repair carmel indiana],Exact,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,"""dishwasher repair carmel indiana""",Phrase,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,[dishwasher repair near me],Exact,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Dishwasher Repair,[dishwasher repair],Exact,https://alex-repair.com/carmel/dishwasher-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[stove repair carmel],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""stove repair carmel""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[stove repair carmel in],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""stove repair carmel in""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[stove repair carmel indiana],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""stove repair carmel indiana""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[stove repair near me],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[stove repair],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[oven repair carmel],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""oven repair carmel""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[oven repair carmel in],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""oven repair carmel in""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[oven repair carmel indiana],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,"""oven repair carmel indiana""",Phrase,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[oven repair near me],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Stove Oven Repair,[oven repair],Exact,https://alex-repair.com/carmel/stove-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,[cooktop repair carmel],Exact,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,"""cooktop repair carmel""",Phrase,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,[cooktop repair carmel in],Exact,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,"""cooktop repair carmel in""",Phrase,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,[cooktop repair carmel indiana],Exact,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,"""cooktop repair carmel indiana""",Phrase,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,[cooktop repair near me],Exact,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Cooktop Repair,[cooktop repair],Exact,https://alex-repair.com/carmel/cooktop-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,[microwave repair carmel],Exact,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,"""microwave repair carmel""",Phrase,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,[microwave repair carmel in],Exact,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,"""microwave repair carmel in""",Phrase,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,[microwave repair carmel indiana],Exact,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,"""microwave repair carmel indiana""",Phrase,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,[microwave repair near me],Exact,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Microwave Repair,[microwave repair],Exact,https://alex-repair.com/carmel/microwave-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,[freezer repair carmel],Exact,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,"""freezer repair carmel""",Phrase,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,[freezer repair carmel in],Exact,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,"""freezer repair carmel in""",Phrase,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,[freezer repair carmel indiana],Exact,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,"""freezer repair carmel indiana""",Phrase,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
SEARCH | Carmel IN | Appliance Repair,Freezer Repair,[freezer repair near me],Exact,https://alex-repair.com/carmel/freezer-repair-services.html,8.5
