Campaign,Asset type,Text,Final URL,Description1,Description2
SEARCH | Carmel IN | Appliance Repair,Sitelink,Refrigerator Repair,https://alex-repair.com/carmel/refrigerator-repair-services.html,Refrigerator Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Washer Repair,https://alex-repair.com/carmel/washer-repair-services.html,Washer Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Dryer Repair,https://alex-repair.com/carmel/dryer-repair-services.html,Dryer Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Dishwasher Repair,https://alex-repair.com/carmel/dishwasher-repair-services.html,Dishwasher Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Stove Oven Repair,https://alex-repair.com/carmel/stove-repair-services.html,Stove Oven Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Microwave Repair,https://alex-repair.com/carmel/microwave-repair-services.html,Microwave Repair in Carmel,Book local service
SEARCH | Carmel IN | Appliance Repair,Sitelink,Book Online,https://alex-repair.com/contacts.html,Schedule service today,Fast local repair
SEARCH | Carmel IN | Appliance Repair,Call,+1 (463) 248-8429,,Use call reporting,Count calls over 60 seconds
SEARCH | Fishers IN | Appliance Repair,Sitelink,Refrigerator Repair,https://alex-repair.com/fishers/refrigerator-repair-services.html,Refrigerator Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Washer Repair,https://alex-repair.com/fishers/washer-repair-services.html,Washer Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Dryer Repair,https://alex-repair.com/fishers/dryer-repair-services.html,Dryer Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Dishwasher Repair,https://alex-repair.com/fishers/dishwasher-repair-services.html,Dishwasher Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Stove Oven Repair,https://alex-repair.com/fishers/stove-repair-services.html,Stove Oven Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Microwave Repair,https://alex-repair.com/fishers/microwave-repair-services.html,Microwave Repair in Fishers,Book local service
SEARCH | Fishers IN | Appliance Repair,Sitelink,Book Online,https://alex-repair.com/contacts.html,Schedule service today,Fast local repair
